trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
349,34,1,33,33,True,False,
350,35,1,77,77,True,False,
351,35,1,127,127,False,False,110
351,35,2,127,127,False,False,
351,35,3,102,102,True,False,
352,35,1,58,58,True,False,
353,35,1,96,96,False,False,89
353,35,2,96,96,True,False,
354,35,1,153,138,True,True,138 145
355,35,1,11,11,True,False,
356,35,1,77,77,False,False,
356,35,2,77,77,True,False,
357,35,1,104,104,False,False,
357,35,2,104,104,True,False,
358,35,1,10,10,True,False,
359,35,1,148,148,True,False,
360,36,1,60,59,True,True,59
361,36,1,48,48,True,False,
362,36,1,52,52,True,False,
363,36,1,26,26,False,False,
363,36,2,26,26,True,False,
364,36,1,96,96,True,False,
365,36,1,90,90,True,False,
366,36,1,136,136,True,False,
367,36,1,123,123,True,False,
368,36,1,142,142,False,False,
368,36,2,142,142,True,False,
369,36,1,106,106,False,False,111
369,36,2,106,106,False,False,
369,36,3,106,106,True,False,
370,37,1,16,16,False,False,
370,37,2,15,15,False,False,
370,37,3,21,21,False,False,
370,37,4,21,21,False,False,
370,37,5,15,16,True,True,16
371,37,1,4,4,True,False,
372,37,1,137,137,True,False,
373,37,1,146,146,False,False,
373,37,2,133,133,True,False,
374,37,1,2,2,True,False,
375,37,1,62,62,True,False,
376,37,1,24,24,False,False,
376,37,2,23,23,False,False,
376,37,3,25,25,True,False,24
377,37,1,89,89,True,False,
378,37,1,93,93,False,False,
378,37,2,95,95,False,False,94
378,37,3,95,95,True,False,
379,37,1,32,32,False,False,
379,37,2,33,33,False,False,
379,37,3,33,33,True,False,
380,38,1,102,102,False,False,
380,38,2,103,103,False,False,
380,38,3,103,103,False,False,
380,38,4,103,103,True,False,
381,38,1,79,82,True,True,82
382,38,1,71,71,False,False,
382,38,2,71,71,False,False,
382,38,3,71,71,False,False,
382,38,4,71,71,True,False,
383,38,1,75,75,True,False,
384,38,1,113,94,True,True,94
385,38,1,117,117,False,False,
385,38,2,126,126,True,False,
386,38,1,121,121,False,False,119 120
386,38,2,121,121,True,False,
387,38,1,30,30,False,False,
387,38,2,30,30,True,False,
388,38,1,80,80,True,False,79
389,38,1,84,81,True,True,81
390,39,1,98,98,False,False,
390,39,2,98,98,False,False,
390,39,3,103,103,True,False,
391,39,1,7,7,False,False,
391,39,2,7,7,True,False,
392,39,1,70,70,True,False,
393,39,1,65,65,False,False,
393,39,2,65,65,True,False,
394,39,1,59,59,True,False,
395,39,1,50,50,False,False,
395,39,2,50,50,False,False,
395,39,3,50,50,True,False,
396,39,1,59,59,False,False,
396,39,2,59,59,False,False,
396,39,3,45,45,False,False,50
396,39,4,45,45,False,False,
396,39,5,45,45,True,False,
397,39,1,75,67,True,True,67
398,39,1,26,26,True,False,
399,39,1,56,56,True,False,
400,40,1,133,133,True,False,
401,40,1,54,54,False,False,
401,40,2,54,54,True,False,
402,40,1,54,54,False,False,
402,40,2,54,54,True,False,
403,40,1,25,25,False,False,
403,40,2,20,20,False,False,
403,40,3,20,20,True,False,
404,40,1,104,104,True,False,
405,40,1,115,101,True,True,102 101 100 107
406,40,1,66,66,False,False,
406,40,2,66,66,True,False,
407,40,1,36,36,True,False,
408,40,1,56,56,False,False,57
408,40,2,37,37,False,False,49
408,40,3,54,54,True,False,49
409,40,1,66,66,False,False,
409,40,2,73,73,False,False,
409,40,3,66,66,False,False,
409,40,4,66,66,True,False,
410,41,1,52,52,False,False,73 59 51
410,41,2,52,52,True,False,
411,41,1,34,34,False,False,
411,41,2,60,52,True,True,52
412,41,1,130,130,False,False,
412,41,2,141,141,False,False,
412,41,3,141,141,True,False,
413,41,1,103,103,False,False,
